"year","month","day","ssp126","ssp245","ssp370","ssp585"
2035,8,12,14.7359,13.5501,2.1979,0.0052
2035,8,13,0.0354,1.121,0.0375,0.0313
2035,8,14,0.0011,2.6274,0.4771,8.299
2035,8,15,0.5598,1.8748,0.5312,8.6059
2035,8,16,0.8202,0.8315,0.4429,3.9119
2035,8,17,1.4705,11.3628,0.9601,0.425
2035,8,18,0.4583,0.0943,3.6045,0.6774
2035,8,19,6.6689,0,1.7654,0.6197
2035,8,20,12.2204,0,0.4712,0.822
2035,8,21,3e-04,0.614,0.0242,0.8565
2035,8,22,0,0.6811,0,5.819
2035,8,23,0,0.2776,0,10.3121
2035,8,24,0.002,0.0069,2.3667,0.9605
2035,8,25,0.0393,0,2.4391,0.4907
2035,8,26,0,0.0059,0.5337,0.0172
2035,8,27,0.0077,2.1555,0.725,9e-04
2035,8,28,10.5295,5.6871,0.1466,0.8779
2035,8,29,11.9455,0,0.7258,0.9055
2035,8,30,0.2682,0.1026,3.5526,1.8555
2035,8,31,0,0.4801,7.2121,4.2786
2036,8,1,4.046,1.3374,0.0019,0.8585
2036,8,2,1.5281,0,0.4829,7.6384
2036,8,3,11.4597,6.8821,0.9837,3.2501
2036,8,4,9.0947,1.259,1.2522,2.1553
2036,8,5,5.0302,0,1.6152,2.5827
2036,8,6,3.0541,0.0067,9.6656,0.2414
2036,8,7,0.4057,0.361,23.2876,3.4855
2036,8,8,4.8598,0,0.2293,8.2703
2036,8,9,3.2768,0.0345,0.0915,17.8989
2036,8,10,0,2.4529,0.0897,11.3725
2036,8,11,0.0526,1.3361,4.6547,3.8345
2036,8,12,11.0978,3.5199,4.3623,3.31
2036,8,13,1.9877,0.0052,0.9959,3.4803
2036,8,14,0.2032,6.0136,0.0807,6.3301
2036,8,15,0.8512,0.8435,0.5215,1.1898
2036,8,16,5.5161,3.3429,19.9905,0
2036,8,17,2.3012,8.5319,4.3646,0
2036,8,18,8.2734,2.1591,0.2032,0
2036,8,19,3.2882,0.0018,0.1428,0.5798
2036,8,20,0.0325,0.0509,1.4547,1.8588
2036,8,21,0.0933,12.3341,0.9045,0.1289
2036,8,22,0.5168,3.1732,1.515,0.1988
2036,8,23,4.7114,0,3.1686,7.0825
2036,8,24,10.9039,0.048,0.8902,1.9402
2036,8,25,0.1945,0.086,0.0052,0.0141
2036,8,26,0.0091,0.0838,0.0013,5.4935
2036,8,27,3.6343,0.2713,0,4.3915
2036,8,28,9.0981,9.3132,0.0114,2.829
2036,8,29,10.9316,3.3543,12.5106,0.8187
2036,8,30,5.7646,14.4597,1.9172,0.0356
2036,8,31,3.2763,0.2073,0.71,0.0053
2037,8,1,12.7784,0.0081,0.7763,3.8934
2037,8,2,12.211,0.6554,0.512,4.9743
2037,8,3,2.823,2.1923,2.4771,0.647
2037,8,4,7.095,7.6635,1.6991,2.2157
2037,8,5,9.812,12.5002,0.0015,0.048
2037,8,6,0.1264,3.5452,4.1746,0.1108
2037,8,7,0.4465,1.6318,0.1398,3.5643
2037,8,8,0.5028,1.9241,0.0396,5.3542
2037,8,9,0.2256,0.0321,0,0.0829
2037,8,10,19.5756,2.0165,0,0.2549
2037,8,11,2.5495,4.7648,0.0164,5.353
2037,8,12,1.9003,0,0.0934,9e-04
2037,8,13,2.7875,0,4.6062,0
2037,8,14,13.2231,0,0.0393,0.0014
2037,8,15,1.7349,8.5558,2e-04,0.04
2037,8,16,12.3213,14.2082,6.7912,0
2037,8,17,5.5574,8.4722,0.1726,0.0424
2037,8,18,3.9813,0.5723,0.6705,0.0015
2037,8,19,9.9931,0.4215,3.4847,2.8541
2037,8,20,2.3435,2.7169,0,0.568
2037,8,21,4e-04,1.7438,0,2.7186
2037,8,22,0.0295,3.1696,0.2271,10.9413
2037,8,23,0.5902,4.9545,0.0115,2.7722
2037,8,24,0.6371,0.9264,1.6159,0.0071
2037,8,25,0.2918,4.554,13.658,0.3453
2037,8,26,0,0.7284,0,0.0653
2037,8,27,0,3.9398,0,1.3999
2037,8,28,0,13.5819,0.0054,0.2202
2037,8,29,0.1609,1.8891,1.1593,0
2037,8,30,0.0434,5e-04,3.8743,0
2037,8,31,1.1731,0,0.2457,2.0824
2038,8,1,1.0182,0.0724,0.2019,21.6086
2038,8,2,0.0059,5.3853,0,9.916
2038,8,3,1.5661,0.0629,0,3.6447
2038,8,4,0.2635,0.0879,14.6254,0.5059
2038,8,5,0.3434,0,21.3259,3.2108
2038,8,6,0.0706,0.5204,6.2598,2.1311
2038,8,7,0,1.0968,3.3499,2.0786
2038,8,8,0,0.7844,21.6074,1.9108
2038,8,9,0.7653,9.1744,4.5596,4.9786
2038,8,10,15.7401,3.2497,0.0395,0.4615
2038,8,11,22.6771,0,0.9855,0.0195
2038,8,12,5.438,2e-04,3.2826,6.6071
2038,8,13,0.2789,1.5638,0.0161,0.2804
2038,8,14,0.1728,13.9873,0.1354,0.0101
2038,8,15,1e-04,15.6818,0.5801,6e-04
2038,8,16,0,16.725,8.5511,0.2321
2038,8,17,0.0046,1.3155,10.1694,13.7795
2038,8,18,0.9311,0.743,11.7186,0.7237
2038,8,19,9.2636,2.9248,12.2186,0.1392
2038,8,20,3.947,4.6331,1.3466,0.0038
2038,8,21,8.5177,1.1349,0.0137,0.2257
2038,8,22,0.4339,9.4519,0.0049,0.0126
2038,8,23,0.0243,4.8443,0.0735,2.2559
2038,8,24,5.2309,3.354,0.0547,11.0008
2038,8,25,11.0076,5.1263,0.27,5.3505
2038,8,26,9.1873,9.6275,0.5536,0.6578
2038,8,27,7.1114,1.1442,0.4779,8.3314
2038,8,28,4.3563,0,11.8682,0.7126
2038,8,29,2.2011,0.8429,5.0645,0.8056
2038,8,30,11.8314,11.2784,0.042,0.0516
2038,8,31,2.8865,2.7366,0.0071,0.1792
2039,8,1,0.0225,13.6915,5.8142,0.402
2039,8,2,1.3904,1.856,10.7136,1.2112
2039,8,3,11.5447,0,6.1238,1.9513
2039,8,4,14.9339,0.9492,5.7798,6.1481
2039,8,5,23.3654,4.6765,5.082,2.3789
2039,8,6,11.5609,2.6092,0.0178,6.9794
2039,8,7,5.3954,0.0591,2.9881,8.8945
2039,8,8,15.3636,0.0165,12.2436,3.3792
2039,8,9,6.0505,0.136,0.1221,5.2112
2039,8,10,0.2839,10.0591,4.2946,18.2644
2039,8,11,0.793,4.6483,2.8,0.1582
2039,8,12,0,1.6928,0,0.2566
2039,8,13,3.4424,10.1543,0,0.016
2039,8,14,4.2273,0.9467,2.8377,3.8163
2039,8,15,0.4829,0.3231,21.3815,14.429
2039,8,16,4.2721,0.4651,0.0407,1.8991
2039,8,17,0.3174,0.0104,0,0.1635
2039,8,18,0.0055,2.3991,0,0.1422
2039,8,19,0.1883,13.6332,0.2389,5.9954
2039,8,20,1.8228,13.8143,7.5675,7.2352
2039,8,21,0.667,1.8324,2.8994,4.7928
2039,8,22,0.6214,1.7677,0,3.431
2039,8,23,0.0023,7.6522,0.0182,5.6809
2039,8,24,0.7067,1.4992,0.4426,4.1774
2039,8,25,0.6853,0,3.6821,5.3819
2039,8,26,0,0,0.0086,9.654
2039,8,27,3e-04,0.0159,1e-04,5.9892
2039,8,28,0.1597,5.7216,0.4727,0.5528
2039,8,29,4.4308,1.6663,10.1722,1.1423
2039,8,30,9.7737,1.3487,0.6014,6.3331
2039,8,31,12.1782,11.0366,1e-04,4.7043
2040,8,1,0.0035,1.1762,0.9257,7.8743
2040,8,2,0.0338,3.2879,5.0906,7.1247
2040,8,3,4.6781,6.6502,0.4043,7.6035
2040,8,4,14.1539,11.1555,0,7.0692
2040,8,5,8.843,6.8604,0.5655,4.0694
2040,8,6,0.0068,5.9047,0.8647,4.1726
2040,8,7,0.0364,0,1.6028,2.324
2040,8,8,1.6238,0.0064,0.9431,4.5425
2040,8,9,0.9258,0.3222,0.2364,13.4537
2040,8,10,0,4.8942,2.4524,11.5709
2040,8,11,0.199,5.5259,7.8377,4.4018
2040,8,12,5.5301,6.6619,0.7192,1.0334
2040,8,13,1.654,11.569,0.4078,1.5939
2040,8,14,1.0109,1.0921,0.0189,4.4055
